,,,,,Crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE/UT,District,Year,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
MAHARASHTRA,AHMEDNAGAR,2002,82,45,6,45,0,45,27,20,7,19,11,97,352,841,239,602,296,56,69,1,38,663,8,75,0,280,0,445,1050,4506
MAHARASHTRA,AKOLA,2002,59,34,0,28,0,28,21,16,5,8,0,41,314,729,82,647,120,19,37,9,40,801,4,70,11,156,0,116,1269,3886
MAHARASHTRA,AMRAVATI COMMR.,2002,27,25,1,18,0,18,12,10,2,2,0,42,275,791,127,664,50,18,52,2,16,475,4,35,32,68,0,65,655,2665
MAHARASHTRA,AMRAVATI RURAL,2002,58,36,3,66,0,66,22,21,1,15,1,47,392,1052,42,1010,85,16,26,0,59,773,5,130,19,95,0,142,880,3922
MAHARASHTRA,AURANGABAD COMMR.,2002,32,18,0,8,0,8,20,12,8,8,2,58,248,535,198,337,124,12,96,1,12,408,7,30,13,110,0,108,590,2440
MAHARASHTRA,AURANGABAD RURAL,2002,50,29,0,12,0,12,11,8,3,13,2,32,131,291,41,250,158,10,26,1,53,792,24,36,12,208,0,199,613,2703
MAHARASHTRA,BEED,2002,69,51,0,25,0,25,23,10,13,18,3,64,198,431,65,366,313,31,43,0,38,884,2,51,7,158,0,202,677,3288
MAHARASHTRA,BHANDARA,2002,36,13,2,32,0,32,16,15,1,1,1,14,228,340,37,303,66,14,25,0,43,403,3,57,37,70,0,113,744,2258
MAHARASHTRA,BULDHANA,2002,50,35,2,30,0,30,18,14,4,22,0,42,259,728,44,684,169,21,43,4,87,749,17,107,21,162,0,175,924,3665
MAHARASHTRA,CHANDRAPUR,2002,52,19,6,29,0,29,24,21,3,5,3,28,249,471,54,417,128,31,50,5,42,538,3,89,9,116,0,187,886,2970
MAHARASHTRA,DHULE,2002,46,25,1,16,0,16,8,8,0,4,2,14,96,355,73,282,82,21,40,0,23,392,7,20,6,124,0,194,673,2149
MAHARASHTRA,GADCHIROLI,2002,51,33,4,22,0,22,9,8,1,12,0,11,113,113,7,106,33,17,17,0,42,285,0,59,15,65,0,62,440,1403
MAHARASHTRA,GONDIA,2002,44,16,0,25,0,25,21,20,1,5,0,14,217,318,42,276,23,15,24,10,8,370,4,74,15,70,0,91,595,1959
MAHARASHTRA,HINGOLI,2002,32,15,1,17,0,17,7,7,0,7,0,34,103,163,16,147,74,18,21,1,18,485,6,36,4,98,0,58,431,1629
MAHARASHTRA,JALGAON,2002,81,39,2,22,0,22,21,19,2,20,4,29,316,626,100,526,184,46,55,8,13,790,10,78,29,219,0,289,1421,4302
MAHARASHTRA,JALNA,2002,48,28,1,14,0,14,11,8,3,10,0,38,187,272,37,235,128,16,47,0,28,587,5,25,8,199,0,116,558,2326
MAHARASHTRA,KOLHAPUR,2002,65,42,3,17,0,17,15,7,8,16,1,17,220,472,162,310,138,46,70,3,18,549,20,46,8,70,0,284,870,2990
MAHARASHTRA,LATUR,2002,39,27,2,4,0,4,19,19,0,8,1,45,102,264,55,209,166,32,41,2,30,869,5,53,5,125,0,147,846,2832
MAHARASHTRA,MUMBAI,2002,252,134,7,128,0,128,119,61,58,33,57,291,2597,10166,3101,7065,143,342,1155,76,5,3542,18,254,40,214,0,753,5950,26276
MAHARASHTRA,MUMBAI RLY.,2002,3,3,0,2,0,2,7,3,4,1,4,22,4,1694,2,1692,8,12,35,3,0,34,0,4,2,0,0,2,102,1942
MAHARASHTRA,NAGPUR COMMR.,2002,98,54,0,49,0,49,50,41,9,12,62,146,1307,2511,845,1666,254,50,235,14,23,916,4,63,38,210,0,218,2408,8722
MAHARASHTRA,NAGPUR RLY.,2002,7,2,1,0,0,0,0,0,0,8,0,16,2,797,9,788,8,5,2,7,1,25,0,2,1,0,0,2,166,1052
MAHARASHTRA,NAGPUR RURAL,2002,95,35,1,66,0,66,25,19,6,10,1,61,401,998,76,922,132,24,38,1,90,915,7,114,61,98,0,306,1574,5053
MAHARASHTRA,NANDED,2002,83,85,0,29,0,29,40,34,6,20,10,100,373,542,84,458,191,21,110,1,72,1559,24,83,6,241,0,137,2072,5799
MAHARASHTRA,NANDURBAR,2002,26,9,0,28,0,28,5,5,0,5,0,14,103,146,23,123,82,15,27,1,9,237,2,41,5,75,0,71,277,1178
MAHARASHTRA,NASIK COMMR.,2002,25,9,2,12,0,12,17,8,9,5,5,32,369,612,211,401,131,23,98,0,4,272,3,20,11,136,0,143,592,2521
MAHARASHTRA,NASIK RURAL,2002,90,44,1,38,0,38,14,10,4,21,4,37,301,481,97,384,365,40,53,0,45,1024,8,101,57,375,0,432,1252,4783
MAHARASHTRA,NAVI MUMBAI,2002,48,21,1,24,0,24,18,9,9,14,15,50,333,890,320,570,66,68,197,5,3,322,6,28,7,34,0,269,652,3071
MAHARASHTRA,OSMANABAD,2002,46,17,3,28,0,28,15,8,7,10,1,26,143,277,17,260,173,22,30,0,32,828,0,53,10,115,0,166,661,2656
MAHARASHTRA,PARBHANI,2002,55,31,0,19,0,19,11,7,4,7,2,68,141,229,45,184,143,9,38,0,24,955,5,55,4,137,0,91,342,2366
MAHARASHTRA,PUNE COMMR.,2002,95,42,0,51,0,51,36,22,14,8,6,80,836,2447,1197,1250,702,72,346,0,13,1058,5,59,97,131,0,332,2088,8504
MAHARASHTRA,PUNE RLY.,2002,1,3,0,2,1,1,1,1,0,0,0,7,0,321,0,321,1,3,5,0,0,2,0,0,0,0,0,0,63,409
MAHARASHTRA,PUNE RURAL,2002,141,37,7,42,0,42,16,9,7,16,9,61,296,706,251,455,185,33,41,2,23,592,4,60,14,175,0,757,1301,4518
MAHARASHTRA,RAIGAD,2002,43,21,0,29,0,29,12,10,2,24,3,38,169,278,49,229,144,19,54,1,17,277,13,40,11,54,0,283,619,2149
MAHARASHTRA,RATNAGIRI,2002,26,6,0,13,0,13,5,5,0,1,1,12,144,175,23,152,49,11,22,1,19,211,0,41,16,23,0,103,343,1222
MAHARASHTRA,SANGLI,2002,97,29,0,33,0,33,22,14,8,13,3,22,225,446,104,342,107,25,90,0,29,411,4,38,8,63,0,289,734,2688
MAHARASHTRA,SATARA,2002,83,17,4,31,0,31,14,9,5,11,3,26,218,442,111,331,97,41,72,1,20,490,13,51,2,156,0,360,1189,3341
MAHARASHTRA,SINDHUDURG,2002,18,7,0,11,0,11,4,2,2,6,0,8,97,96,16,80,43,8,9,1,16,152,1,14,1,11,0,73,205,781
MAHARASHTRA,SOLAPUR COMMR.,2002,27,39,2,30,0,30,13,8,5,31,3,18,203,313,85,228,109,7,42,1,10,180,4,10,5,62,0,68,420,1597
MAHARASHTRA,SOLAPUR RURAL,2002,79,40,2,33,0,33,28,23,5,9,3,23,122,309,64,245,184,31,30,1,43,558,1,34,0,74,0,363,868,2835
MAHARASHTRA,THANE COMMR.,2002,128,68,0,42,0,42,75,41,34,36,35,124,924,1615,636,979,229,70,446,6,32,1010,3,91,40,175,0,247,1023,6419
MAHARASHTRA,THANE RURAL,2002,122,41,21,51,0,51,35,0,35,42,10,81,485,588,195,393,174,35,79,0,37,727,16,100,26,81,0,564,695,4010
MAHARASHTRA,WARDHA,2002,49,31,5,37,0,37,21,19,2,2,2,42,257,601,51,550,122,16,43,5,31,744,2,110,30,79,0,127,1137,3493
MAHARASHTRA,WASHIM,2002,34,13,0,29,0,29,9,8,1,5,1,27,122,354,22,332,71,4,15,2,22,416,9,45,9,99,0,73,516,1875
MAHARASHTRA,YAVATMAL,2002,76,67,2,65,0,65,36,31,5,5,0,37,299,780,67,713,110,23,51,0,41,980,17,104,17,142,0,185,1272,4309
MAHARASHTRA,TOTAL,2002,2768,1435,93,1352,1,1351,953,650,303,548,271,2136,14471,37606,9122,28484,6360,1468,4145,176,1269,29250,303,2686,769,5353,0,9407,42643,165462
MANIPUR,BISHNUPUR,2002,24,23,0,2,0,2,20,7,13,1,0,0,5,9,0,9,5,4,8,1,2,66,0,9,0,1,0,1,112,293
MANIPUR,CHANDEL,2002,9,4,0,0,0,0,9,0,9,0,0,5,2,6,0,6,0,3,2,1,1,19,0,0,0,0,0,4,33,98
MANIPUR,CHURACHANDPUR,2002,30,11,0,0,0,0,19,1,18,0,0,0,4,4,0,4,2,0,0,1,2,6,0,1,0,0,0,0,28,108
MANIPUR,IMPHAL(EAST),2002,24,27,3,4,0,4,25,20,5,2,0,0,7,39,22,17,8,2,11,4,6,50,0,9,0,0,0,0,170,391
MANIPUR,IMPHAL(WEST),,32,51,0,3,0,3,44,36,8,0,0,0,20,162,92,70,26,13,29,5,28,128,0,31,0,5,0,0,433,1010
MANIPUR,SENAPATI,2002,13,11,0,0,0,0,1,0,1,0,0,0,2,6,0,6,2,2,2,0,0,0,0,0,0,0,0,0,91,130
MANIPUR,TAMENGLONG,2002,3,3,0,0,0,0,4,0,4,0,0,0,0,6,0,6,0,0,0,0,2,2,0,0,0,0,0,0,8,28
MANIPUR,THOUBAL,2002,27,29,0,4,0,4,34,18,16,0,8,0,3,18,1,17,21,3,20,0,6,102,0,8,0,4,0,20,181,488
MANIPUR,UKHRUL,2002,3,1,0,1,0,1,1,0,1,0,0,1,1,5,0,5,0,1,0,0,1,5,0,0,0,0,0,0,18,38
MANIPUR,TOTAL,,165,160,3,14,0,14,157,82,75,3,8,6,44,255,115,140,64,28,72,12,48,378,0,58,0,10,0,25,1074,2584
MEGHALAYA,GARO HILLS EAST,2002,10,13,0,1,0,1,5,0,5,5,1,5,10,25,0,25,2,1,2,2,0,8,0,2,0,0,0,0,18,110
MEGHALAYA,GARO HILLS SOUTH,2002,10,3,0,1,0,1,2,1,1,2,0,1,5,11,0,11,0,0,3,0,0,4,0,0,0,0,0,0,15,57
MEGHALAYA,GARO HILLS WEST,2002,17,6,0,5,0,5,12,0,12,2,0,2,23,45,0,45,4,1,4,0,1,21,0,8,0,0,0,0,45,196
MEGHALAYA,JAINTIA HILLS,2002,39,4,0,2,0,2,3,1,2,6,0,10,7,43,2,41,0,0,0,2,2,19,0,5,0,0,0,12,73,227
MEGHALAYA,KHASI HILLS EAST,2002,48,22,3,19,0,19,22,4,18,24,1,66,98,221,40,181,3,6,21,3,17,18,0,5,0,0,0,0,174,771
MEGHALAYA,KHASI HILLS WEST,2002,16,8,0,7,0,7,4,0,4,10,0,11,8,11,0,11,0,1,0,0,0,6,0,3,0,0,0,0,34,119
MEGHALAYA,RI-BHOI,2002,27,2,0,3,0,3,4,4,0,15,0,14,3,36,9,27,0,0,3,1,3,13,0,0,0,0,0,0,60,184
MEGHALAYA,TOTAL,2002,167,58,3,38,0,38,52,10,42,64,2,109,154,392,51,341,9,9,33,8,23,89,0,23,0,0,0,12,419,1664
MIZORAM,AIZAWL,2002,5,18,0,36,0,36,4,0,4,0,0,2,228,542,17,525,0,19,58,9,10,33,0,28,0,2,0,0,415,1409
MIZORAM,CHAMPHAI,2002,6,1,0,9,0,9,0,0,0,0,0,1,47,45,2,43,0,0,5,2,3,17,0,10,0,0,0,0,66,212
MIZORAM,KOLASIB,2002,4,1,1,5,0,5,1,0,1,2,0,3,28,87,3,84,1,4,6,1,5,12,0,6,0,1,0,10,62,240
MIZORAM,LAWNGTLAI,2002,3,0,0,2,0,2,0,0,0,0,0,0,14,22,0,22,0,0,0,0,0,7,0,4,0,0,0,0,110,162
MIZORAM,LUNGLEI,,2,2,0,11,0,11,0,0,0,0,0,0,71,173,4,169,0,3,10,3,5,13,0,11,0,0,0,0,32,336
MIZORAM,MAMIT,2002,1,0,0,4,0,4,0,0,0,1,0,0,16,18,0,18,0,0,3,1,1,6,0,0,0,0,0,3,8,62
MIZORAM,SAIHA,2002,2,4,3,7,0,7,1,1,0,1,0,1,19,88,3,85,0,0,2,0,2,19,0,14,0,0,0,0,163,326
MIZORAM,SERCHHIP,2002,6,0,1,2,0,2,1,1,0,1,0,0,23,24,1,23,0,0,1,0,1,5,0,0,0,0,0,0,8,73
MIZORAM,TOTAL,2002,29,26,5,76,0,76,7,2,5,5,0,7,446,999,30,969,1,26,85,16,27,112,0,73,0,3,0,13,864,2820
NAGALAND,DIMAPUR,2002,32,7,1,3,0,3,19,2,17,9,0,91,58,128,52,76,1,6,3,1,2,27,0,1,0,0,0,12,66,467
NAGALAND,KIPHIRE,2002,1,0,0,1,0,1,1,1,0,0,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,11
NAGALAND,KOHIMA,2002,25,2,0,9,0,9,0,0,0,4,0,0,19,44,24,20,0,0,12,0,0,1,0,0,0,0,0,0,110,226
NAGALAND,MOKOKCHUNG,2002,11,1,1,0,0,0,1,0,1,1,0,5,8,7,2,5,0,0,0,0,3,2,0,0,0,0,0,5,19,64
NAGALAND,MON,2002,1,1,0,0,0,0,1,1,0,2,0,3,12,17,2,15,0,0,3,0,0,7,0,0,0,0,0,4,13,64
NAGALAND,PEREN,2002,4,9,0,0,0,0,0,0,0,0,0,0,2,5,0,5,0,0,1,0,1,1,0,0,0,0,0,0,8,31
NAGALAND,PHEK,2002,5,4,3,1,0,1,4,0,4,2,0,6,2,8,0,8,0,1,0,0,0,5,0,0,0,0,0,0,11,52
NAGALAND,TUENSANG,2002,6,5,0,1,0,1,1,0,1,0,0,4,6,2,0,2,3,2,0,2,0,0,0,0,0,0,0,0,13,45
NAGALAND,WOKHA,2002,6,3,0,1,0,1,0,0,0,3,0,0,11,36,0,36,1,1,0,0,0,10,0,0,0,0,0,3,24,99
NAGALAND,ZUNHEBOTO,2002,9,2,0,1,0,1,0,0,0,0,0,0,8,7,1,6,0,0,2,0,0,0,0,0,0,0,0,0,26,55
NAGALAND,TOTAL,2002,100,34,5,17,0,17,27,4,23,21,0,110,128,257,81,176,5,10,21,3,6,53,0,1,0,0,0,24,292,1114
ODISHA,ANGUL,2002,40,43,2,25,0,25,15,15,0,7,0,27,69,127,10,117,105,3,19,0,16,43,8,53,4,49,0,133,826,1614
ODISHA,BALASORE,2002,23,6,0,47,0,47,35,31,4,12,4,33,148,178,32,146,73,10,27,2,27,170,28,81,26,86,0,0,1474,2490
